"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050921","GO:0050921","positive regulation of chemotaxis","16/588","144/18866",1.11247493568632e-05,0.00258094185079226,0.00225246898820277,"F7/NRP1/PTN/MET/CCR2/EDN3/CCR7/CCL21/FGF2/ADAM17/IL34/ITGA2/VEGFD/CCL19/CMKLR1/S100A14",16
"GO:0001763","GO:0001763","morphogenesis of a branching structure","19/588","201/18866",1.81445446275544e-05,0.00400908033675487,0.00349885028482214,"PRDM1/SEMA3A/SEMA3C/NRP1/MET/HOXA5/PLXNA1/HOXD13/LAMA5/MYC/FGF2/FGF7/RSPO3/ADM/MMP14/LRP5/FZD5/WT1/TNF",19
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","18/588","187/18866",2.34872001315382e-05,0.00495366402774261,0.004323218129475,"SEMA3A/SEMA3C/NRP1/MET/HOXA5/PLXNA1/HOXD13/LAMA5/MYC/FGF2/FGF7/RSPO3/ADM/MMP14/LRP5/FZD5/WT1/TNF",18
"GO:0050920","GO:0050920","regulation of chemotaxis","20/588","229/18866",3.47776260448594e-05,0.00701600803687598,0.00612309049860751,"F7/SEMA3A/SEMA3C/NRP1/PTN/MET/CCR2/EDN3/CCR7/CCL21/FGF2/ADAM17/IL34/ITGA2/VEGFD/SEMA4C/CCL19/CMKLR1/SEMA4B/S100A14",20
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","15/588","142/18866",3.79109909997102e-05,0.00732945825994398,0.00639664834981953,"F7/PTN/CCR2/EDN3/CCR7/CCL21/ADAM17/MMP14/IL34/ITGA2/VEGFD/CCL19/CMKLR1/S100A14/TNF",15
"GO:0002690","GO:0002690","positive regulation of leukocyte chemotaxis","12/588","96/18866",4.31724156157694e-05,0.0080128003382868,0.00699302243679431,"F7/PTN/CCR2/EDN3/CCR7/CCL21/ADAM17/IL34/VEGFD/CCL19/CMKLR1/S100A14",12
"GO:0060326","GO:0060326","cell chemotaxis","24/588","311/18866",4.54414871145959e-05,0.00810955770045096,0.0070774656246903,"F7/NRP1/FLT1/PTN/MET/CCR2/EDN3/FFAR2/CCR7/ARHGEF16/VAV3/CCL21/FGF2/ACKR3/ADAM17/IL34/S100A9/S100A12/HMGB2/VEGFD/CCL19/CYP7B1/CMKLR1/S100A14",24
"GO:0070268","GO:0070268","cornification","13/588","113/18866",5.08037704812277e-05,0.00859500263493754,0.00750112866075424,"PKP2/PERP/PPL/PI3/KRT7/FURIN/SPRR2D/KRT1/KRT15/KRT20/KRT14/KAZN/SPRR2F",13
"GO:0001570","GO:0001570","vasculogenesis","11/588","83/18866",5.186639521083e-05,0.00859500263493754,0.00750112866075424,"ZMIZ1/QKI/RRAS/ITGAV/ACKR3/ADM/WNT7A/EGFL7/FZD4/WT1/SOX18",11
"GO:0043552","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","7/588","33/18866",5.8140329750039e-05,0.00929104904159971,0.00810859021393695,"FLT1/CCR7/VAV3/CCL21/FGF2/CCL19/TNFAIP8L3",7
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","14/588","131/18866",6.00714377689637e-05,0.00929104904159971,0.00810859021393695,"PKP2/SEMA3C/LRP2/SMARCD3/NRP1/HIF1A/ADGRG6/TNNC1/NOTCH2/RBP4/TPM1/ADAMTS1/FZD1/DHRS3",14
"GO:0014002","GO:0014002","astrocyte development","8/588","45/18866",6.61030616809793e-05,0.00961928002384336,0.00839504769775984,"IFNGR1/GRN/CDK6/NR1D1/TSPAN2/EGFR/S100A9/TNF",8
"GO:0052547","GO:0052547","regulation of peptidase activity","31/588","466/18866",6.63398622334025e-05,0.00961928002384336,0.00839504769775984,"BAK1/GRN/SERPINB3/PEBP1/SERPINA4/PAPLN/PSME2/VSIR/SPOCK2/PERP/TNFSF10/PI3/PRDX5/BCL2L12/NGF/MYC/FURIN/SPOCK1/ATP13A2/ITIH3/S100A9/COL6A3/CLDN3/BEX3/SERPINF2/SERPINA6/ACER2/SOX2/SERPINA1/SERPINB5/TNF",31
"GO:0031638","GO:0031638","zymogen activation","9/588","58/18866",7.11410140764176e-05,0.00983119749199158,0.00857999472588285,"BAK1/VSIR/PERP/FURIN/KLK3/MMP14/SERPINF2/KLK1/KLK2",9
"GO:0050727","GO:0050727","regulation of inflammatory response","29/588","425/18866",7.26620127388248e-05,0.00983119749199158,0.00857999472588285,"TNFRSF1B/GRN/IL17RB/MGST2/NFKBIA/ACP5/FOXP1/VAMP8/CCR2/PTGIS/FFAR2/CCR7/NR1D1/SMPDL3B/IL33/DUOXA1/DUOXA2/GPR17/NFKBIZ/EGFR/ZYX/ALOX15/BCL6B/S100A9/S100A12/ITGA2/KRT1/SIRPA/TNF",29
"GO:0060541","GO:0060541","respiratory system development","18/588","204/18866",7.41577397025227e-05,0.00983119749199158,0.00857999472588285,"ITGA3/PTN/HOXA5/THRA/LAMA5/ASS1/RIDA/RBP4/FGF2/FGF7/ABCA12/EGFR/MMP14/PDPN/RARG/DHCR7/WT1/TNF",18
