"","ID","Description","Count","GeneRatio","geneID"
"GO:0002253","GO:0002253","activation of immune response",41,"41/901","CFH/BTN3A1/PAG1/MEF2C/FYB1/NFATC2/CD276/KCNN4/ICAM2/MYO1G/MYO10/DOCK1/ELMO1/RUNX1/CD3G/BTNL9/C3AR1/PRNP/C1QA/LCK/FPR3/PLSCR1/SRC/MYO1C/CD3E/FCGR3A/PLPP4/HLA-DRA/MICB/IGKV5-2/IGLV1-47/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/NFAM1/IGKV1D-39"
"GO:0002262","GO:0002262","myeloid cell homeostasis",6,"6/901","BAK1/JAK3/ID2/BMP4/ADAM17/AXL"
"GO:0002339","GO:0002339","B cell selection",1,"1/901","BAK1"
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/901",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",18,"18/901","SLC11A1/CD40/IL27RA/JAK3/TCIRG1/APOA1/SASH3/CLCF1/IGKV5-2/IGKV6-21/IGLV8-61/IGLV4-60/IGLV1-47/IGLV7-46/IGKV6D-21/TNF/IGKV1-9/IGKV1D-39"
"GO:0002507","GO:0002507","tolerance induction",2,"2/901","HAVCR2/CD3E"
"GO:0002520","GO:0002520","immune system development",57,"57/901","CYP26B1/SCIN/JARID2/BAK1/FLT4/PRDM1/SBNO2/KLF6/TPD52/HOXA9/MEF2C/SNX10/PIR/CD40/NFATC2/IL27RA/JAK3/PTPRZ1/TGFBR1/TCIRG1/POU2AF1/ITGA4/ID2/SASH3/BMP4/CBFA2T3/TOP2A/RARA/PIAS3/HAVCR2/DUSP10/PIP4K2A/ADAM17/ANGPT1/PRKCA/FZD7/RUNX1/CD3G/ZBTB7B/GFI1/TIPARP/SMAD3/AXL/IL17D/NRROS/CD34/CLCF1/TMEM64/CRIP2/LCK/SRC/PNP/TOX/CD3E/TNF/NFAM1/HOXB7"
"GO:0002682","GO:0002682","regulation of immune system process",106,"106/901","CFH/CYP26B1/SCIN/NOS2/SELE/SLC11A1/BTN3A1/PRDM1/COL17A1/PLA2G10/PVR/PAG1/HOXA9/MEF2C/FYB1/ICAM1/EFNB1/UNC13D/DDT/CTSG/CD40/NFATC2/CD276/KCNN4/IL27RA/JAK3/CAV1/ICAM2/ITGA4/ID2/APOA1/HSPH1/SASH3/BMP4/LBP/RARA/PIAS3/SFTPD/HAVCR2/MYO1G/DUSP10/MYO10/SCGB1A1/VEGFC/DOCK1/ADAM17/BANK1/PRKCA/ENPP3/ELMO1/RUNX1/JAML/CD3G/ZBTB7B/SHC1/IL6R/BCL6B/BTNL9/SMAD3/AXL/CCDC88B/C3AR1/PRNP/IL17D/C1QA/VEGFB/MST1/CD34/CLCF1/TMEM64/SCRIB/LCK/CADM1/SOCS3/CD300LF/FPR3/PLA2G2A/PLSCR1/SRC/MYO1C/STK39/PNP/TOX/CD3E/FCGR3A/PLPP4/HLA-DRA/MICB/TRIM15/HLA-H/IGKV5-2/IGLV1-47/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/TNF/NFAM1/IGKV1D-39/IKBKE/MILR1/CD24"
"GO:0002683","GO:0002683","negative regulation of immune system process",26,"26/901","PAG1/HOXA9/DDT/IL27RA/JAK3/ID2/APOA1/BMP4/RARA/PIAS3/SFTPD/HAVCR2/DUSP10/SCGB1A1/BANK1/ENPP3/RUNX1/ZBTB7B/AXL/PRNP/IL17D/SCRIB/CD300LF/MICB/TNF/MILR1"
"GO:0002684","GO:0002684","positive regulation of immune system process",82,"82/901","CFH/SCIN/NOS2/SELE/SLC11A1/BTN3A1/PVR/PAG1/MEF2C/FYB1/ICAM1/EFNB1/UNC13D/CTSG/CD40/NFATC2/CD276/KCNN4/IL27RA/JAK3/CAV1/ICAM2/ITGA4/ID2/HSPH1/SASH3/LBP/RARA/HAVCR2/MYO1G/DUSP10/MYO10/VEGFC/DOCK1/ADAM17/PRKCA/ENPP3/ELMO1/RUNX1/CD3G/ZBTB7B/IL6R/BTNL9/AXL/CCDC88B/C3AR1/PRNP/C1QA/VEGFB/CLCF1/TMEM64/LCK/CADM1/FPR3/PLSCR1/SRC/MYO1C/STK39/PNP/TOX/CD3E/FCGR3A/PLPP4/HLA-DRA/MICB/TRIM15/HLA-H/IGKV5-2/IGLV1-47/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/TNF/NFAM1/IGKV1D-39/IKBKE/CD24"
"GO:0006955","GO:0006955","immune response",131,"131/901","CFH/NOS2/TENM1/SLC11A1/NLRP2/BTN3A1/TIMP2/TNFRSF17/PRDM1/SBNO2/COL17A1/PVR/PAG1/LAMP3/MEF2C/FYB1/GSTP1/FTL/ICAM1/UNC13D/CTSG/CD40/NFATC2/CTSZ/OLFM4/CCL22/CCL17/CD276/KCNN4/FCGRT/RETN/IL27RA/JAK3/IMPDH1/ICAM2/TCIRG1/POU2AF1/LY86/ITGA4/APOA1/TTR/NPC2/SASH3/LRP1/IFI6/LBP/RARA/SFTPD/HAVCR2/OASL/MYO1G/GLIPR1/SECTM1/DUSP10/MYO10/DOCK1/ADAM17/BMP6/ENPP3/ELMO1/RAET1L/SLA/RUNX1/JAML/CD3G/ZBTB7B/SHC1/IL6R/CCR5/CXCL16/BCL6B/GBP4/BTNL9/SMAD3/AXL/FTH1/C3AR1/PRNP/AQP4/IL16/C1QA/PPP1R14B/NRROS/CD34/TNK1/CLCF1/APOBEC3B/LCK/CADM1/SOCS3/CD300LF/FPR3/PLA2G2A/PLSCR1/EVL/SRC/SERPINA1/MYO1C/PNP/SUCNR1/CD3E/FCGR3A/PLPP4/HLA-DRA/MICB/TRIM15/HLA-H/IGKV5-2/IGKV6-21/IGLV8-61/IGLV4-60/IGLV1-47/IGLV7-46/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGKV6D-21/IGHV4-31/TNF/NFAM1/IGKV1-9/PLEKHO2/IGKV1D-39/HP/IKBKE/MILR1/CD24"
"GO:0019882","GO:0019882","antigen processing and presentation",7,"7/901","SLC11A1/ICAM1/RAB34/CTSF/AP1S2/HLA-DRA/HLA-H"
"GO:0031294","GO:0031294","lymphocyte costimulation",6,"6/901","EFNB1/CAV1/LCK/SRC/CD3E/CD24"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/901",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/901",""
"GO:0045058","GO:0045058","T cell selection",3,"3/901","CD3G/TOX/CD3E"
"GO:0045321","GO:0045321","leukocyte activation",88,"88/901","CYP26B1/SLC11A1/BTN3A1/BAK1/TIMP2/PRDM1/SBNO2/KLF6/PLA2G10/TPD52/PAG1/MEF2C/GSTP1/FTL/ICAM1/EFNB1/UNC13D/CTSG/CD40/NFATC2/CTSZ/OLFM4/CD276/RETN/IL27RA/JAK3/CAV1/IMPDH1/TCIRG1/POU2AF1/CCND3/ITGA4/ID2/TTR/NPC2/HSPH1/SASH3/BMP4/LBP/RARA/SFTPD/HAVCR2/GLIPR1/DUSP10/SCGB1A1/ADAM17/BANK1/ENPP3/FZD7/RUNX1/JAML/CD3G/ZBTB7B/SMAD3/AXL/FTH1/CCDC88B/C3AR1/PRNP/C1QA/CLCF1/SCRIB/LCK/CD300LF/PLA2G2A/PLSCR1/SRC/SERPINA1/PNP/SUCNR1/TOX/CD3E/MICB/HLA-H/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/TNF/NFAM1/PLEKHO2/HP/MILR1/CD24"
"GO:0050900","GO:0050900","leukocyte migration",38,"38/901","SELE/ICAM1/DDT/PDGFB/CCL22/CCL17/IL27RA/CAV1/ITGA4/LBP/SFTPD/MYO1G/VEGFC/ADAM17/ANGPT1/JAML/SHC1/IL6R/CCR5/ITGA5/CXCL16/C3AR1/IL16/VEGFB/TNFRSF10D/MST1/CD34/LCK/SRC/STK39/L1CAM/IGKV5-2/IGLV1-47/IGHV3-7/IGHV3-23/IGLC6/TNF/IGKV1D-39"
"GO:0090713","GO:0090713","immunological memory process",0,"0/901",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/901",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/901",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/901",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/901",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/901",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/901",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/901",""
"GO:0002209","GO:0002209","behavioral defense response",3,"3/901","MAPK8IP2/MEF2C/ASIC1"
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/901",""
"GO:0007611","GO:0007611","learning or memory",14,"14/901","MAPK8IP2/ABCA7/MEF2C/PTPRZ1/ASIC1/PPP1R1B/ITGA5/EN1/FEN1/PRNP/SYNPO/PRKAR1B/ARC/FOXO6"
"GO:0007622","GO:0007622","rhythmic behavior",2,"2/901","USP2/ID2"
"GO:0007625","GO:0007625","grooming behavior",1,"1/901","DDO"
"GO:0007626","GO:0007626","locomotory behavior",10,"10/901","USP2/ID2/PPP1R1B/NKX2-1/EN1/PBX3/ABAT/SLITRK6/ETV5/SELENOP"
"GO:0007631","GO:0007631","feeding behavior",4,"4/901","RETN/ACE2/EN1/NPW"
"GO:0007632","GO:0007632","visual behavior",2,"2/901","PPP1R1B/SYNPO"
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/901",""
"GO:0007638","GO:0007638","mechanosensory behavior",1,"1/901","SLITRK6"
"GO:0019098","GO:0019098","reproductive behavior",2,"2/901","MAPK8IP2/PPP1R1B"
"GO:0030534","GO:0030534","adult behavior",6,"6/901","ID2/PPP1R1B/EN1/PBX3/ABAT/SLITRK6"
"GO:0030537","GO:0030537","larval behavior",0,"0/901",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/901",""
"GO:0035176","GO:0035176","social behavior",2,"2/901","MAPK8IP2/EN1"
"GO:0035187","GO:0035187","hatching behavior",0,"0/901",""
"GO:0035640","GO:0035640","exploration behavior",1,"1/901","ABAT"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/901",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/901",""
"GO:0048266","GO:0048266","behavioral response to pain",1,"1/901","TSPO"
"GO:0048520","GO:0048520","positive regulation of behavior",1,"1/901","MEF2C"
"GO:0048521","GO:0048521","negative regulation of behavior",1,"1/901","RETN"
"GO:0050795","GO:0050795","regulation of behavior",2,"2/901","MEF2C/RETN"
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/901",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/901",""
"GO:0060273","GO:0060273","crying behavior",0,"0/901",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/901",""
"GO:0061744","GO:0061744","motor behavior",0,"0/901",""
"GO:0071625","GO:0071625","vocalization behavior",0,"0/901",""
"GO:0006734","GO:0006734","NADH metabolic process",3,"3/901","NUDT12/GPD2/GPD1"
"GO:0006739","GO:0006739","NADP metabolic process",5,"5/901","ME1/NUDT12/TP53I3/FMO5/DCXR"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",395,"395/901","GCLC/LAP3/CASP10/DLX6/NOS2/TEAD3/MYLIP/JARID2/MAPK8IP2/TENM1/ETV7/HHATL/IDS/CNTN1/SLC11A1/NLRP2/GCLM/ARNTL2/BAK1/RNF19A/TIMP2/USP2/FLT4/VCAN/CELF2/LTBP1/RCN1/NRIP2/KCNQ1/OPN3/PRDM1/ATP2B4/CREB3L3/PTPRU/COL11A1/MPC1/ABCA7/SBNO2/GSTO2/ME1/MTHFD2/TIE1/KLF6/FGFR3/MAOB/PLA2G10/LNX1/ALDH3A2/SREBF1/TP63/ACAT1/GRAMD4/ACACB/LAMP3/HOXA9/MOXD1/PTPRH/SLC4A4/MEF2C/IL12RB2/PGR/TRAF5/RPS5/GSTP1/MAPRE3/ERO1B/ACHE/TMPRSS11E/TFAP2C/PIR/PEBP1/ICAM1/TGM1/TBX15/NANS/TSPAN15/SERPIND1/DDT/CYP2D6/MCM5/TSPO/PDGFB/FOXRED2/CTSG/REC8/CD40/MYBL2/NFATC2/PABPC1L/CTSZ/TBL1X/CAB39L/KLF5/ACP5/TSC22D1/MSLN/NFAT5/ZNF423/CCL22/CCL17/PARD6A/FAH/CEMIP/SCG3/MCM4/DMPK/IL4I1/IL27RA/JAK3/CAV1/WNT2/EPHB6/PTPRZ1/PCOLCE/IMPDH1/LHX2/TGFBR1/ENG/GLIS3/RNF43/GALK1/GALNT18/TCIRG1/POU2AF1/CORO1C/ATN1/PERP/CCND3/GMDS/TTK/NUDT12/GHR/KNG1/ZBTB47/CHST10/ID2/PLCL1/MYCL/ST6GALNAC5/APOA1/TTR/BSPRY/RASL11A/XPNPEP2/NR4A1/LRP1/NDP/UNC5CL/BMP4/FOSB/TGM3/ASL/IFI6/PKMYT1/SRD5A3/HOXD11/IVD/E2F8/AJUBA/RPS4Y1/CBFA2T3/GADD45G/DPP6/ACE2/SH3BP5/NAPSA/AOC3/TOP2A/RARA/PPP1R1B/KHDRBS3/PIAS3/DCLK1/SFTPD/HAVCR2/OASL/NKX2-1/ABHD17C/ALPK3/RPLP1/UACA/ZNF750/PMAIP1/P3H4/DUSP10/NKD2/SLC22A3/IGFBP3/NFIB/SCGB1A1/GLYAT/ARID5B/HNMT/PDCD4/ADRA2A/VEGFC/PRSS23/FOXO1/AKR1C2/RNF144A/ADAM17/ACSL1/PTPRK/PLOD2/STK32B/BANK1/DAB2/ACMSD/BMP6/PID1/CHST9/ANGPT1/PRKCA/ENPP3/FZD7/SLA/NMNAT2/RHBDL2/AUTS2/CDC25C/TSPAN33/NPM2/RUNX1/CHAF1B/SIM2/ATP13A2/ZDHHC12/S100A1/ZBTB7B/SHC1/IL6R/CCR5/ITGA5/IP6K3/BCL6B/DIRAS3/GFI1/EN1/MSX1/CDS1/PTPN13/ALB/ADAMTS9/PPM1K/TIPARP/APBB2/BDH2/STK17A/SLC29A4/CDCA7L/ZNF704/NSMF/ZNF219/SALL2/LARGE2/APBB1/USP54/GLYATL1/CHP2/NAB2/TSC22D4/SMAD3/TEF/PBX3/GPD1/AXL/ENTPD3/BMP1/FEN1/ADRB2/B3GALNT1/STK32A/LDB2/IRX1/IRX2/SIX2/FOXA3/FUT3/ZNF692/CDC42BPG/KNDC1/RRM2/RPS21/PRNP/SUCLG2/RCAN2/ARNT2/SYNPO2/NDNF/INSM1/PPP1R14B/PTPRM/FKBP2/VEGFB/MST1/HOXB2/CD34/CTSF/MSRB3/TNK1/NRIP3/CLCF1/CCDC85B/SLCO3A1/B3GNT5/RNF152/POLR2L/MYOZ1/RPP25/ZHX2/APOBEC3B/PIPOX/CITED4/B3GNT3/MRPL14/MRPL41/RGMA/UBE2E2/LCK/TCEAL7/ABAT/ADRA2C/DUSP8/SOCS3/CDCA2/PDE6G/NR2F2/P4HB/BCL9L/KRT10/MAGI2/PRKAR1B/PLA2G2A/PLSCR1/SLC38A3/ALG1L/GSPT2/EPHB4/SULT1A1/SRC/ACSL5/SERPINA1/TPSB2/KANK2/SERPINB2/RPS26/OCLN/TEAD4/STK39/EIF1AY/PNP/SUCNR1/TOX/CES1/CD3E/SREBF2/RASGEF1A/SPRR2E/DDO/FOXO6/NEU4/CARD16/POU5F1/DDR1/TRIM15/SERPINB5/SNORD60/SNORD101/MIR590/MIR23A/GSTM2/NEURL1B/UBE2QL1/SNORA11/APOL6/ELFN1/TNF/NFAM1/ZNF737/SCARNA7/HOGA1/ETV5/GBA3/CHCHD10/HOXA10/HP/NHLRC4/ZBED6/HOXB7/IKBKE/TXNIP/FXYD1/CD24/EPOP/ACACA"
"GO:0009056","GO:0009056","catabolic process",110,"110/901","GCLC/CYP26B1/NOS2/MYLIP/IDS/SLC11A1/CYP24A1/RNF19A/TIMP2/USP2/VCAN/ATP2B4/ABCA7/MAOB/PLA2G10/LNX1/ALDH3A2/SREBF1/CYP2W1/ACAT1/ACACB/LAMP3/PAFAH1B3/MOXD1/SLC4A4/OXCT1/RPS5/ACHE/CYP2D6/TSPO/FOXRED2/CTSZ/TBL1X/FAH/CEMIP/IL4I1/CAV1/PRUNE2/RNF43/GALK1/IL10RA/TCIRG1/NUDT12/EHHADH/GPD2/PECR/APOA1/LRP1/SRD5A3/IVD/RPS4Y1/CBFA2T3/SH3BP4/ABHD17C/RPLP1/PMAIP1/NKD2/SCGB1A1/HNMT/ADRA2A/PIP4K2A/FOXO1/RNF144A/ACSL1/DAB2/ACMSD/PRKCA/ENPP3/RAB39B/CBR3/ATP13A2/ADAMTS9/PPM1K/TIPARP/BDH2/PLEKHF1/SMAD3/GPD1/CYP2S1/ATG16L2/ENTPD3/FEN1/ADRB2/DCXR/RPS21/SYNPO2/CTSF/LPL/RNF152/ZHX2/APOBEC3B/PIPOX/ABAT/PLA2G2A/GSPT2/SULT1A1/SRC/RPS26/PNP/CES1/SREBF2/DDO/NEU4/COL15A1/GSTM2/TNF/HOGA1/DECR2/GBA3/HP"
"GO:0009058","GO:0009058","biosynthetic process",241,"241/901","GCLC/DLX6/NOS2/TEAD3/JARID2/TENM1/ETV7/HHATL/SLC11A1/NLRP2/GCLM/ARNTL2/USP2/VCAN/MSMO1/PRDM1/ATP2B4/TBXAS1/CREB3L3/MPC1/ABCA7/SBNO2/GSTO2/ME1/KLF6/MAOB/PLA2G10/ALDH3A2/SREBF1/TP63/ACAT1/ACACB/HOXA9/ADCYAP1R1/MOXD1/MEF2C/PGR/C1QTNF3/TRAF5/RPS5/GSTP1/MAPRE3/ACHE/TFAP2C/PIR/ICAM1/TBX15/NANS/DDT/CYP2D6/MCM5/TSPO/PDGFB/CD40/MYBL2/NFATC2/PABPC1L/TBL1X/KLF5/ACP5/TSC22D1/NFAT5/ZNF423/CEMIP/MCM4/PLEKHA4/JAK3/CAV1/WNT2/IMPDH1/LHX2/TGFBR1/ENG/GLIS3/GALNT18/POU2AF1/ATN1/CCND3/GMDS/NUDT12/ZBTB47/GPD2/PECR/CHST10/ID2/MYCL/ST6GALNAC5/APOA1/HSPH1/RASL11A/NR4A1/NDP/BMP4/FOSB/ASL/SRD5A3/HOXD11/E2F8/AJUBA/RPS4Y1/CBFA2T3/ACE2/TOP2A/RARA/PPP1R1B/PIAS3/HAVCR2/NKX2-1/ABHD17C/RPLP1/ZNF750/P3H4/NFIB/SCGB1A1/ARID5B/PDCD4/PIP4K2A/FOXO1/ACSL1/PTPRK/PLOD2/BANK1/DAB2/ACMSD/BMP6/PID1/CHST9/ANGPT1/ENPP3/FZD7/MPV17L/NMNAT2/AUTS2/NPM2/RUNX1/CBR1/CHAF1B/SIM2/PTMS/ZDHHC12/S100A1/ZBTB7B/SHC1/PTH1R/CYGB/IP6K3/BCL6B/GFI1/EN1/MSX1/CDS1/PTPN13/APBB2/BDH2/CDCA7L/ZNF704/ZNF219/SALL2/LARGE2/APBB1/CHP2/NAB2/TSC22D4/SMAD3/TEF/PBX3/GPD1/ENTPD3/FEN1/ADRB2/B3GALNT1/DCXR/LDB2/IRX1/IRX2/SIX2/FOXA3/FUT3/ZNF692/RRM2/RPS21/PRNP/ARNT2/INSM1/VEGFB/MST1/HOXB2/CD34/LPL/CCDC85B/SLCO3A1/B3GNT5/POLR2L/MYOZ1/ZHX2/CITED4/B3GNT3/MRPL14/MRPL41/RGMA/TCEAL7/ABAT/NR2F2/BCL9L/AGMO/PLA2G2A/PLSCR1/SLC38A3/ALG1L/GSPT2/CACNA1H/SRC/ACSL5/KANK2/RPS26/TEAD4/EIF1AY/PNP/TOX/CES1/SREBF2/FOXO6/CARD16/POU5F1/TRIM15/MIR590/GSTM2/FADS3/TNF/NFAM1/ZNF737/HOGA1/DECR2/ETV5/CHCHD10/HOXA10/ZBED6/HOXB7/TXNIP/EPOP/ACACA"
"GO:0009892","GO:0009892","negative regulation of metabolic process",157,"157/901","GCLC/NOS2/JARID2/ETV7/HHATL/SLC11A1/BAK1/TIMP2/USP2/KCNQ1/PRDM1/ATP2B4/ABCA7/SBNO2/SREBF1/TP63/ACACB/CAMSAP3/LAMP3/PTPRH/MEF2C/PGR/C1QTNF3/RPS5/GSTP1/TFAP2C/PEBP1/TBX15/SERPIND1/CYP2D6/TSPO/PDGFB/NFATC2/CTSZ/TBL1X/KLF5/ACP5/ZNF423/PARD6A/JAK3/CAV1/LHX2/ENG/GLIS3/IL10RA/CORO1C/ATN1/CCND3/LAMA4/NUDT12/KNG1/ID2/PLCL1/APOA1/LRP1/BMP4/FOSB/IFI6/PKMYT1/E2F8/AJUBA/RPS4Y1/LBP/CBFA2T3/SH3BP5/AOC3/RARA/PPP1R1B/PIAS3/SFTPD/HAVCR2/NKX2-1/RPLP1/DUSP10/IGFBP3/NFIB/SCGB1A1/ARID5B/PDCD4/ADRA2A/FOXO1/ADAM17/PTPRK/BANK1/DAB2/ACMSD/BMP6/PID1/ANGPT1/PRKCA/MPV17L/RUNX1/SIM2/ATP13A2/S100A1/ZBTB7B/SHC1/CYGB/BCL6B/GFI1/EN1/MSX1/PTPN13/TIPARP/ZNF219/SALL2/APBB1/NAB2/TSC22D4/SMAD3/AXL/LDB2/IRX1/IRX2/SIX2/ZNF692/RPS21/PRNP/INSM1/PPP1R14B/MST1/HOXB2/CD34/CCDC85B/MYO1D/POLR2L/MYOZ1/ZHX2/TCEAL7/DUSP8/SOCS3/NR2F2/PRKAR1B/GSPT2/SRC/SERPINA1/KANK2/SERPINB2/RPS26/OCLN/CD3E/SREBF2/FOXO6/CARD16/POU5F1/SERPINB5/MIR621/MIR590/MIR23A/ELFN1/TNF/HP/ZBED6/IKBKE/TXNIP/FXYD1/CD24"
