"","ID","Description","Count","GeneRatio","geneID"
"GO:0002253","GO:0002253","activation of immune response",81,"81/1731","IGHV3-35/IGHV3-21/IGHV3-11/HHLA2/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TRBV7-9/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/HLA-DRB1/MUC13/BCAR1/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/A2M/F2/LPXN/VAV1/IGHV2-26/IGHV3-20/HLA-A/IGKV2-30/FCGR3A/CD79B/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/BLNK/CEACAM1/CD3D/C4BPB/IGHV3-66/CLU/TRAC/CPB2/PSMB8/IL1B/NFAM1/C5AR1/PRKCQ/IGHV1-18/IGHV3-49/IGHV1-58/MEF2C/HLA-DRA/CFB/IGHV1-24/IGKV1D-12/EZR/GATA3/SH2D1A/IGKV1-12/IGHV3-53/C1S/CD55/FPR3/C3AR1/ARPC1B/MUC2/PTPRC/C4BPA/PIK3R1/IGHV4-61/IGHV1-69/PTPN6/BTN3A3/MUC5B/BAIAP2/C1RL/BTN3A1/HLA-DPA1/PHPT1/BTNL9"
"GO:0002262","GO:0002262","myeloid cell homeostasis",23,"23/1731","ITPKB/JAK3/CDK6/P4HTM/BMP4/SLC7A11/IKZF1/HIF1A/JAM3/RHEX/MERTK/INHA/RB1/HCLS1/MAFB/GATA3/SPI1/ETS1/ANXA1/ISG15/MIR221/ZFP36L1/FAM210B"
"GO:0002339","GO:0002339","B cell selection",0,"0/1731",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/1731",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",37,"37/1731","CD74/SWAP70/IGKV1D-39/HLA-DRB1/IGLV2-8/CD96/IGKV1-39/IGKV3-7/JAK3/BST2/CD36/PGC/HLA-A/IGKV2D-29/IGKV2-30/IGKV1D-17/DDX58/GPRC5B/BATF/IL1B/SPINK5/WNT5A/TRPM4/IGKV1D-12/GATA3/VPREB3/PKN1/MAD2L2/IGKV1-12/CD55/SLC11A1/SMAD7/IGKV6D-21/PTPRC/IL18/TGFB2/IL13RA2"
"GO:0002507","GO:0002507","tolerance induction",1,"1/1731","HAVCR2"
"GO:0002520","GO:0002520","immune system development",116,"116/1731","VSIR/CD83/SATB1/GNAS/CD74/HDAC1/EVI2B/SWAP70/CSF1/ITPKB/EPHB3/CSF1R/HLA-DRB1/LRRC8A/SPN/JAK3/CDK6/VAV1/P4HTM/DTX1/PIR/BMP4/IKZF1/SEMA4A/RBM47/CCR1/SCIN/CD79B/SLAMF8/SIX4/OSCAR/MLF1/RUNX3/BLNK/CEACAM1/CD3D/DLL1/IRF1/HLA-DOA/HIF1A/BATF/JAM3/ZBTB16/LIF/TREM2/RHEX/CCL3/TMEM91/SLAMF6/PNP/CDKN2B/PSMB8/CA2/IL1B/SIPA1L3/NFAM1/PRKCQ/SPINK5/MEIS2/PPARG/MEF2C/TCF7/MERTK/CMTM7/INHA/HAVCR2/LMO2/IRF7/WNT5A/RB1/HCLS1/MTURN/MAFB/CDH17/GATA3/KLF4/PKN1/NFE2/MAD2L2/MYH9/YAP1/ERBB2/SPI1/FAM20C/ETS1/ANXA1/TESC/TCF21/FES/HES1/IL11/ISG15/TMEM64/SMAD7/MIR221/PTPRC/CD1D/PIK3R1/PRKX/TRPM2/PTPN6/IL18/SOX12/JUN/ZBTB7B/NBEAL2/PDGFRA/PBX1/ZFP36L1/MYB/TGFB2/SMAD3/DHRS2/FAM210B/FGFR2/CLDN18"
"GO:0002682","GO:0002682","regulation of immune system process",224,"224/1731","CD24/IGHV3-35/IGHV3-21/IGHV3-11/IGF2/VSIR/STK39/HLA-DMB/CD83/HHLA2/CD8B/SIAE/GNAS/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TRBV7-9/CD74/IGHV3-72/HDAC1/EVI2B/SWAP70/HTRA1/CXCL13/CTSC/IGHV3-15/IGHV3-48/IGHV3-7/BIRC3/CXCL12/SERPINB4/IGKV1D-39/CSF1/ITPKB/CSF1R/HLA-DRB1/RAC2/PLA2G1B/MUC13/BCAR1/SPN/PELI1/IGHV5-51/IGHV3-33/IGLV2-8/MAP3K1/CD96/IGKV1-39/SOX9/JAK3/CDK6/A2M/IFIT1/PLVAP/F2/BST2/BST1/LPXN/VAV1/NOS2/P4HTM/DTX1/CD36/IGHV2-26/IGHV3-20/PGC/HLA-A/IGKV2-30/BMP4/SLC7A11/DLG5/VAMP8/SLC7A1/FCGR3A/CCR1/SCIN/CD79B/SELE/SLAMF8/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/OSCAR/RUNX3/BLNK/CEACAM1/HLA-H/DDX58/DOCK8/ARG2/GPRC5B/CD3D/DLL1/C4BPB/IRF1/HLA-DOA/CXCL17/CTSG/HIF1A/DTX3L/JAM3/ZBTB16/MCU/IGHV3-66/CLU/LIF/TREM2/RHEX/CCL3/TRAC/CPB2/CD99L2/SLAMF6/PNP/AZGP1/PSMB8/CA2/IL1B/NFAM1/COL17A1/C5AR1/PRKCQ/DPP4/S100A14/IGHV1-18/IGHV3-49/IGHV1-58/SPINK5/MEIS2/DNASE1L3/PPARG/MEF2C/TCF7/MERTK/HLA-DRA/INHA/VEGFB/HAVCR2/SHC1/LMO2/IL6R/CFB/S100A7/SIRPG/IGHV1-24/IFITM1/IRF7/WNT5A/RB1/HCLS1/MTURN/TRPM4/IGKV1D-12/EZR/NBL1/MAFB/GATA3/PKN1/NFE2/MAD2L2/PVR/YAP1/ERBB2/SH2D1A/IGKV1-12/SPI1/ETS1/ANXA1/TESC/IGHV3-53/FES/HES1/C1S/CNR1/CD55/SLC11A1/FPR3/ISG15/C3AR1/TMEM64/CLEC7A/ARPC1B/SMAD7/MIR221/MUC2/PTPRC/NPDC1/CD1D/MAPK10/STK10/TTLL12/C4BPA/PIK3R1/CXCL14/IGHV4-61/IGHV1-69/PTPN6/IL18/BTN3A3/RIPOR2/SOX12/JUN/ZBTB7B/ZFP36L1/MUC5B/BAIAP2/C1RL/MYB/BTN3A1/HLA-DPA1/TGFB2/PHPT1/CX3CL1/SMAD3/BTNL9/CD1A/COL1A2/FAM210B/IL13RA2/NMI/CLDN18/CD84"
"GO:0002683","GO:0002683","negative regulation of immune system process",64,"64/1731","VSIR/CD74/HTRA1/CXCL12/SERPINB4/ITPKB/HLA-DRB1/SPN/PELI1/CD96/SOX9/JAK3/CDK6/A2M/BST2/LPXN/DTX1/HLA-A/BMP4/DLG5/SLAMF8/RUNX3/CEACAM1/ARG2/DLL1/C4BPB/IRF1/HLA-DOA/ZBTB16/CCL3/DPP4/SPINK5/MEIS2/PPARG/MERTK/INHA/HAVCR2/EZR/NBL1/MAFB/PKN1/ERBB2/SH2D1A/ANXA1/HES1/CNR1/CD55/SMAD7/MIR221/PTPRC/TTLL12/C4BPA/PIK3R1/PTPN6/RIPOR2/ZBTB7B/ZFP36L1/TGFB2/PHPT1/CX3CL1/IL13RA2/NMI/CLDN18/CD84"
"GO:0002684","GO:0002684","positive regulation of immune system process",171,"171/1731","CD24/IGHV3-35/IGHV3-21/IGHV3-11/IGF2/VSIR/STK39/HLA-DMB/CD83/HHLA2/GNAS/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TRBV7-9/CD74/IGHV3-72/EVI2B/SWAP70/CXCL13/CTSC/IGHV3-15/IGHV3-48/IGHV3-7/CXCL12/IGKV1D-39/CSF1/ITPKB/CSF1R/HLA-DRB1/RAC2/PLA2G1B/MUC13/BCAR1/SPN/PELI1/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/JAK3/A2M/PLVAP/F2/BST1/LPXN/VAV1/NOS2/CD36/IGHV2-26/IGHV3-20/PGC/HLA-A/IGKV2-30/VAMP8/SLC7A1/FCGR3A/CCR1/SCIN/CD79B/SELE/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/RUNX3/BLNK/CEACAM1/HLA-H/DDX58/DOCK8/GPRC5B/CD3D/C4BPB/CXCL17/CTSG/HIF1A/ZBTB16/MCU/IGHV3-66/CLU/LIF/TREM2/RHEX/CCL3/TRAC/CPB2/CD99L2/SLAMF6/PNP/AZGP1/PSMB8/CA2/IL1B/NFAM1/C5AR1/PRKCQ/DPP4/S100A14/IGHV1-18/IGHV3-49/IGHV1-58/MEF2C/HLA-DRA/VEGFB/HAVCR2/IL6R/CFB/S100A7/SIRPG/IGHV1-24/IRF7/WNT5A/RB1/HCLS1/MTURN/IGKV1D-12/EZR/GATA3/MAD2L2/PVR/SH2D1A/IGKV1-12/ETS1/ANXA1/TESC/IGHV3-53/FES/HES1/C1S/CNR1/CD55/SLC11A1/FPR3/ISG15/C3AR1/TMEM64/CLEC7A/ARPC1B/MIR221/MUC2/PTPRC/CD1D/C4BPA/PIK3R1/CXCL14/IGHV4-61/IGHV1-69/PTPN6/IL18/BTN3A3/RIPOR2/SOX12/JUN/ZBTB7B/ZFP36L1/MUC5B/BAIAP2/C1RL/MYB/BTN3A1/HLA-DPA1/TGFB2/PHPT1/CX3CL1/BTNL9/CD1A/FAM210B/IL13RA2/CD84"
"GO:0006955","GO:0006955","immune response",279,"279/1731","CD24/IGHV3-35/IGHV3-21/IGHV3-11/SERPINB1/VSIR/LPCAT1/HLA-DMB/CD83/TMEM63A/HHLA2/CD8B/CTSB/UNC93B1/APOBEC3A/IQGAP2/IFI44L/CD7/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TRBV7-9/CD74/IGHV3-72/SWAP70/CXCL13/CTSC/HSPA8/GCH1/IFI44/CALML5/HLA-DMA/IGHV3-15/IGHV3-48/IGHV3-7/NLRP2/BIRC3/CXCL12/SERPINB4/MID1/IGKV1D-39/STOM/CSF1/CSF1R/HLA-DRB1/PPBP/CCL11/RAC2/PLA2G1B/MUC13/OASL/BCAR1/SPN/MAP3K5/IGHV5-51/IGHV3-33/IGLV2-8/MAP3K1/MSRB1/CD96/SLC26A6/PGM1/ARHGEF2/IGKV1-39/IGKV3-7/JAK3/A2M/IFIT1/AQP4/F2/CXCL3/CXCL1/BST2/BST1/LPXN/IL1RN/VAV1/NOS2/HK3/CD36/JUP/IGHV2-26/IGHV3-20/SRPK1/PGC/HLA-A/S1PR4/IGKV2D-29/IGKV2-30/IGKV1D-17/DEGS1/VAMP8/SEMA4A/FCGR3A/CCR1/CD79B/CCL26/SLAMF8/RAET1L/SERPINA1/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/OSCAR/BLNK/CEACAM1/HLA-H/DDX58/ARG2/GPRC5B/CD3D/DLL1/ELF4/C4BPB/PRKD1/IRF1/CD93/HLA-DOA/LYST/GAPDH/MGST1/CTSG/ARHGAP45/DTX3L/IFI27/BATF/JAM3/IGHV3-66/CLU/LIF/TREM2/CCL3/TRAC/FAS/CPB2/SLAMF6/PNP/AZGP1/PSMB8/IL1B/ALDH3B1/NFAM1/COL17A1/C5AR1/PRKCQ/IGHV1-18/IGHV3-49/IGHV1-58/SPINK5/ADAMDEC1/DNASE1L3/DSP/MARCO/CD44/PPARG/BPIFB2/PGRMC1/MEF2C/TCF7/HLA-DRA/IFITM3/RNF19B/QPCT/HEBP2/CYBA/HAVCR2/SHC1/CCR5/IL6R/GSDMD/PLEKHO2/CFB/RAB3A/HAMP/S100A7/IGHV1-24/TUBB/IFITM1/IRF7/WNT5A/ORMDL3/TRPM4/IGKV1D-12/EZR/ADA2/FABP5/CDH17/GATA3/TRIM22/VPREB3/PKN1/TNFAIP6/MAD2L2/GZMB/PVR/HP/TRAV30/CITED1/SH2D1A/IGKV1-12/ETS1/ANXA1/CYSTM1/IGHV3-53/SHMT2/ATP6V0C/FES/C1S/TTR/CNR1/CD55/IL1RAP/CRISP3/RNASET2/SLC11A1/FPR3/ISG15/C3AR1/PTX3/CLEC7A/CXCL5/ARPC1B/PXDN/SMAD7/MUC2/IGKV6D-21/PTPRC/PKP1/NPDC1/VAMP2/DEFB1/CD1D/CDA/MAPK10/STK10/PYGL/TTLL12/C4BPA/PRDX4/PIK3R1/CXCL14/SRMS/IGHV4-61/IGHV1-69/TRPM2/RNASE6/PTPN6/IL18/BTN3A3/JUN/ZBTB7B/NBEAL2/S100A13/MUC5B/BAIAP2/C1RL/MYB/BTN3A1/HLA-DPA1/TGFB2/IL32/PHPT1/CX3CL1/REG3A/APOBEC3B/PRF1/SMAD3/BTNL9/SLA/CD1A/COL1A2/PI3/IL13RA2/QSOX1/NMI/CD84/MPEG1"
"GO:0019882","GO:0019882","antigen processing and presentation",28,"28/1731","KIF22/HLA-DMB/CD74/KIF15/HLA-DMA/HLA-DRB1/CTSE/RAB34/CD36/HLA-A/VAMP8/HLA-H/HLA-DOA/SEC24D/TREM2/AZGP1/PSMB8/KIF5A/HLA-DRA/CYBA/RAB32/DYNC1I1/SLC11A1/CD1D/NCF4/HLA-DPA1/SH3GL2/CD1A"
"GO:0031294","GO:0031294","lymphocyte costimulation",6,"6/1731","CD24/HHLA2/VAV1/DPP4/PIK3R1/PTPN6"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/1731",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/1731",""
"GO:0045058","GO:0045058","T cell selection",9,"9/1731","CD74/ITPKB/SPN/CD3D/BATF/SLAMF6/GATA3/PTPRC/CD1D"
"GO:0045321","GO:0045321","leukocyte activation",187,"187/1731","CD24/IGHV3-35/IGHV3-21/IGHV3-11/SERPINB1/IGF2/VSIR/LPCAT1/HLA-DMB/CD83/NAMPT/SATB1/TMEM63A/HHLA2/CD8B/CTSB/IQGAP2/CD7/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/CD74/IGHV3-72/SWAP70/CTSC/HSPA8/CALML5/IGHV3-15/IGHV3-48/IGHV3-7/STOM/CSF1/ITPKB/HLA-DRB1/PPBP/LRRC8A/RAC2/SPN/PELI1/IGHV5-51/IGHV3-33/PGM1/JAK3/CDK6/CXCL1/BST2/BST1/VAV1/HK3/DTX1/CD36/JUP/IGHV2-26/IGHV3-20/HLA-A/BMP4/DLG5/DEGS1/VAMP8/IKZF1/SLC7A1/SEMA4A/CD79B/SLAMF8/SERPINA1/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/OSCAR/RUNX3/BLNK/CEACAM1/HLA-H/DOCK8/ARG2/CD3D/DLL1/ELF4/IRF1/CD93/HLA-DOA/MGST1/CTSG/ARHGAP45/BATF/ZBTB16/IGHV3-66/CLU/TREM2/CCL3/SLAMF6/PNP/IL1B/ALDH3B1/NFAM1/C5AR1/PRKCQ/DPP4/IGHV1-18/IGHV3-49/IGHV1-58/SPINK5/DNASE1L3/DSP/CD44/PGRMC1/MEF2C/TCF7/MERTK/CMTM7/INHA/QPCT/HEBP2/CYBA/HAVCR2/GSDMD/PLEKHO2/RAB3A/S100A7/SIRPG/IGHV1-24/TUBB/WNT5A/ORMDL3/ADA2/FABP5/MAFB/CDH17/GATA3/PKN1/TNFAIP6/MAD2L2/MYH9/ERBB2/HP/SPI1/ANXA1/CYSTM1/IGHV3-53/ATP6V0C/FES/HES1/TTR/CNR1/CD55/CRISP3/IL11/RNASET2/SLC11A1/C3AR1/PTX3/CLEC7A/SMAD7/PTPRC/PKP1/VAMP2/CD1D/CDA/STK10/PYGL/PRDX4/PIK3R1/IGHV4-61/IGHV1-69/TRPM2/PTPN6/IL18/RIPOR2/SOX12/JUN/CD151/ZBTB7B/NBEAL2/S100A13/ZFP36L1/MYB/BTN3A1/HLA-DPA1/CX3CL1/PRF1/SMAD3/DHRS2/IL13RA2/QSOX1/CD84"
"GO:0050900","GO:0050900","leukocyte migration",94,"94/1731","IGHV3-11/SLC7A9/STK39/F11R/IGHV4-39/IGHV2-5/IGHV3-13/CD74/SWAP70/CXCL13/GYPC/IGHV3-48/IGHV3-7/CXCL12/IGKV1D-39/CSF1/CSF1R/PPBP/CCL11/RAC2/PLA2G1B/SPN/IGHV3-33/IGLV2-8/IGKV1-39/PODXL2/PLVAP/F2/CXCL3/CXCL1/BST1/VAV1/IGKV2-30/SLC7A11/CCR1/SELE/CCL26/SLAMF8/IGHV4-34/IGHV3-23/CEACAM1/DOCK8/ITGB3/LYST/CXCL17/JAM3/MCU/TREM2/CCL3/GRB7/CD99L2/IL1B/SDC2/C5AR1/DPP4/S100A14/TNFRSF10B/CD44/EDNRB/MERTK/SDC1/VEGFB/SHC1/CCR5/IL6R/S100A7/SIRPG/WNT5A/TRPM4/IGKV1D-12/NBL1/GATA3/ARHGEF5/VPREB3/MYH9/IGKV1-12/ANXA1/IGHV3-53/C3AR1/CXCL5/STK10/PIK3R1/CXCL14/TNFRSF10A/IGHV1-69/S1PR1/TRPM2/PTPN6/RIPOR2/TGFB2/CX3CL1/BSG/COL1A2/CD84"
"GO:0090713","GO:0090713","immunological memory process",0,"0/1731",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/1731",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/1731",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/1731",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/1731",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/1731",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/1731",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/1731",""
"GO:0002209","GO:0002209","behavioral defense response",4,"4/1731","ATP1A2/BRINP1/DPP4/MEF2C"
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/1731",""
"GO:0007611","GO:0007611","learning or memory",30,"30/1731","NTRK2/SHANK3/ATP1A2/CCL11/STRA6/ITPR3/NRXN2/SLC7A11/HIF1A/BRINP1/SHC3/SGK1/MEIS2/MEF2C/LRRN4/CLDN5/NLGN3/EPHB2/ADCY1/ARC/PPP1R1B/POMK/CNR1/ADGRF1/PTGS2/VLDLR/ADCY3/JUN/BCHE/FOSL1"
"GO:0007622","GO:0007622","rhythmic behavior",4,"4/1731","GPR176/KCND2/NMU/PTGDS"
"GO:0007625","GO:0007625","grooming behavior",2,"2/1731","NMU/DDO"
"GO:0007626","GO:0007626","locomotory behavior",17,"17/1731","ATP1A2/CXCL12/FOXA2/ALDH1A3/KCNJ10/GLRB/CNP/KCND2/DPP4/SELENOP/EPHA4/MYO5A/FGF12/ABCA2/PPP1R1B/PBX3/ADAM22"
"GO:0007631","GO:0007631","feeding behavior",11,"11/1731","NTRK2/MRAP2/MMP17/STRA6/NMU/ADM2/NPW/CNR1/GDF15/CPT1A/REN"
"GO:0007632","GO:0007632","visual behavior",7,"7/1731","ATP1A2/SLC7A11/HIF1A/MEIS2/LRRN4/NLGN3/PPP1R1B"
"GO:0007635","GO:0007635","chemosensory behavior",3,"3/1731","GJB4/WFS1/ADCY3"
"GO:0007638","GO:0007638","mechanosensory behavior",5,"5/1731","SHANK3/STRA6/NRXN2/ETV1/SLC1A3"
"GO:0019098","GO:0019098","reproductive behavior",3,"3/1731","THRB/BRINP1/PPP1R1B"
"GO:0030534","GO:0030534","adult behavior",16,"16/1731","SHANK3/ATP1A2/CXCL12/FOXA2/NRXN2/SLC7A11/KCNJ10/GLRB/CNP/EPHA4/NLGN3/FGF12/PCDH17/PPP1R1B/PBX3/ADAM22"
"GO:0030537","GO:0030537","larval behavior",0,"0/1731",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/1731",""
"GO:0035176","GO:0035176","social behavior",4,"4/1731","SHANK3/NRXN2/BRINP1/NLGN3"
"GO:0035187","GO:0035187","hatching behavior",0,"0/1731",""
"GO:0035640","GO:0035640","exploration behavior",3,"3/1731","ATP1A2/BRINP1/DPP4"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/1731",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/1731",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/1731",""
"GO:0048520","GO:0048520","positive regulation of behavior",2,"2/1731","STRA6/MEF2C"
"GO:0048521","GO:0048521","negative regulation of behavior",1,"1/1731","NMU"
"GO:0050795","GO:0050795","regulation of behavior",6,"6/1731","STRA6/CCL3/NMU/MEF2C/CNR1/PTGDS"
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/1731",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/1731",""
"GO:0060273","GO:0060273","crying behavior",0,"0/1731",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/1731",""
"GO:0061744","GO:0061744","motor behavior",1,"1/1731","DPP4"
"GO:0071625","GO:0071625","vocalization behavior",5,"5/1731","SHANK3/NRXN2/SRPX2/BRINP1/NLGN3"
"GO:0006734","GO:0006734","NADH metabolic process",5,"5/1731","HK3/PGK1/PKLR/GAPDH/PFKP"
"GO:0006739","GO:0006739","NADP metabolic process",5,"5/1731","ME1/NOCT/NOX1/FMO2/FMO5"
