"","ID","Description","Count","GeneRatio","geneID"
"GO:0002682","GO:0002682","regulation of immune system process",136,"136/1074","VEGFA/TSC22D3/HLA-DQA1/NCAPG2/PJA2/IGLV3-27/PDE5A/DYSF/APOBEC3G/PAK1/SLC7A2/MUC6/ZDHHC1/PIP/TNFRSF18/TMEM102/RPS3/PGF/CCL24/CD209/LGALS7B/HRAS/MUC20/CYP26B1/PAG1/CCL19/ABR/HERC5/VEGFD/AQP3/ZAP70/IGLL5/SIRPA/TWSG1/NFATC2/C8G/TMEM176A/CD38/TGFB3/SELP/RASGRP1/USP18/CIB1/RARG/SEMA7A/TYROBP/IGLV3-21/CXCR3/IGLV2-23/BTK/TNFRSF4/FAXDC2/CXADR/HLA-F/JAM2/CD177/FZD5/IL7R/PLA2G10/NME1/CSF3/IL34/THEMIS2/MPP1/SLA2/THPO/IL20RB/IRAK3/BCL6B/TCIM/MDK/IL27RA/RASAL3/IGLC3/IGHV3-64/SPON2/CLEC7A/SASH3/RSAD2/KLF13/ITGAM/IL6ST/FBN1/FPR1/SYK/ADGRF5/PRKCB/HLA-G/PIM1/CMKLR1/ICAM1/MMP14/CD99/ITGA2/SOX11/CCR7/GPX1/GPR68/CD2/CD48/CCL20/CCL4/LILRB4/BTN3A2/ACE/IGLV3-25/IGLC7/COL3A1/MFAP4/STAP1/DAPK2/CLEC2B/CD5/TNFSF13/IRF4/NR4A3/CORO1A/NR1D1/RGCC/PIK3CD/LAIR1/CD47/RELB/MUCL1/GAL/SYT11/CACNB3/C1R/IGLV3-19/FYN/SERPING1/MUC3A/IL2RA/HOXA5/SPHK1/LAG3"
"GO:0002683","GO:0002683","negative regulation of immune system process",38,"38/1074","TSC22D3/NCAPG2/PDE5A/LGALS7B/PAG1/ABR/TWSG1/TMEM176A/TGFB3/CIB1/TYROBP/BTK/HLA-F/IL7R/NME1/SLA2/IL20RB/IRAK3/MDK/IL27RA/KLF13/FBN1/ADGRF5/HLA-G/SOX11/GPX1/GPR68/LILRB4/COL3A1/STAP1/NR1D1/CD47/GAL/SYT11/SERPING1/IL2RA/HOXA5/LAG3"
"GO:0002684","GO:0002684","positive regulation of immune system process",94,"94/1074","VEGFA/HLA-DQA1/IGLV3-27/DYSF/PAK1/MUC6/TNFRSF18/TMEM102/RPS3/PGF/CCL24/CD209/HRAS/MUC20/PAG1/CCL19/VEGFD/AQP3/ZAP70/IGLL5/SIRPA/NFATC2/C8G/CD38/SELP/RASGRP1/SEMA7A/TYROBP/IGLV3-21/IGLV2-23/BTK/TNFRSF4/FAXDC2/HLA-F/JAM2/CD177/FZD5/IL7R/CSF3/IL34/THEMIS2/SLA2/THPO/IRAK3/MDK/IL27RA/RASAL3/IGLC3/IGHV3-64/SPON2/CLEC7A/SASH3/RSAD2/ITGAM/IL6ST/FPR1/SYK/PRKCB/HLA-G/CMKLR1/ICAM1/MMP14/CD99/ITGA2/CCR7/GPR68/CD2/CCL20/CCL4/LILRB4/BTN3A2/IGLV3-25/IGLC7/MFAP4/STAP1/DAPK2/CD5/TNFSF13/NR4A3/CORO1A/RGCC/PIK3CD/CD47/RELB/MUCL1/CACNB3/C1R/IGLV3-19/FYN/SERPING1/MUC3A/IL2RA/HOXA5/LAG3"
"GO:0006955","GO:0006955","immune response",175,"175/1074","P2RX1/CTSZ/STYK1/CCL22/HLA-DQA1/GBP6/PJA2/IGLV3-27/DYSF/LY96/CLDN1/APOBEC3G/MBP/PAK1/ITGAX/APLN/SNAP25/GSTP1/CCL17/RETN/MUC6/ZYX/CCL13/CCL18/IGKV1D-8/RPS3/NCAM1/IQGAP1/TCIRG1/CXCR4/CCL24/CD209/HRAS/MUC20/PAG1/HBB/CCL19/RAB37/MX2/IGLV5-37/ABR/HERC5/PLAUR/KRT16/ALCAM/ZAP70/IGLL5/SIRPA/NFATC2/IGF1R/C8G/AOC1/CD38/PNMA1/TGFB3/IFI6/RASGRP1/USP18/GNS/RAP2B/IGLV3-16/IGLV2-18/SEMA7A/TYROBP/IGLV3-21/CXCR3/IGLV2-23/BTK/TNFRSF4/CXADR/HLA-F/INAVA/CD177/FZD5/S100A9/IL7R/TGFBR3/IGKV1-6/CSF3/IL34/THEMIS2/SLA2/IL20RB/LYZ/IRAK3/SVIP/CXCL16/BCL6B/TCIM/MDK/APRT/IL27RA/IGLV3-10/IGLC3/IGLV1-36/IGHV3-64/SPON2/SIGLEC10/CLEC7A/SASH3/LY86/RSAD2/ITGAM/IL6ST/FPR1/SYK/PRKCB/S100A12/HLA-G/SIGLEC14/CMKLR1/ICAM1/RGS1/POU2AF1/CD99/TNFSF12/CCR7/TNK2/SLC2A3/DAPK1/GPX1/TMEM106A/FCGRT/IL16/CLEC12A/CD48/CCL20/CCL4/LILRB4/BTN3A2/IGLV3-25/IGLC7/COL3A1/MFAP4/STAP1/RAB27A/NFIL3/CYBB/CLEC2B/FUCA1/DPP7/TNFSF13/IRF4/NR4A3/CORO1A/RGCC/OLFM4/PIK3CD/LAIR1/CTSW/SLCO4C1/CD47/GM2A/RELB/TAP1/MUCL1/BCL3/ATP11A/TIMP2/CACNB3/DOCK10/C1R/IGLV3-19/PRSS3/FYN/PRSS2/SERPING1/MUC3A/IL2RA/TNK1/SMPDL3B/MX1/LAG3/ATP8A1/NPC2"
"GO:0019882","GO:0019882","antigen processing and presentation",21,"21/1074","HLA-DQA1/RILP/KIF2C/CD209/CCL19/HLA-F/SEC24C/ITGB5/HLA-G/ICAM1/CCR7/SPTBN2/CTSF/ACE/AP1S3/RAB27A/CYBB/RACGAP1/RELB/TAP1/LAG3"
"GO:0031294","GO:0031294","lymphocyte costimulation",5,"5/1074","PAK1/CCL19/CCR7/CD5/FYN"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/1074",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/1074",""
"GO:0045058","GO:0045058","T cell selection",5,"5/1074","ZAP70/JAG2/SYK/CCR7/IRF4"
"GO:0045321","GO:0045321","leukocyte activation",114,"114/1074","P2RX1/CTSZ/PJA2/PDE5A/DYSF/PAK1/ITGAX/SNAP25/GSTP1/SLC7A2/RETN/TNFRSF18/RPS3/IQGAP1/TCIRG1/DLL4/CD209/LGALS7B/CYP26B1/PAG1/HBB/TPD52/CCL19/RAB37/ABR/PLAUR/ZAP70/IGLL5/SIRPA/TWSG1/NFATC2/AOC1/CD38/RASGRP1/JAG2/GNS/RAP2B/TYROBP/BTK/TNFRSF4/CXADR/HLA-F/CD177/FZD5/S100A9/IL7R/PLA2G10/SLA2/IL20RB/LYZ/SVIP/MDK/APRT/IL27RA/LY6D/RASAL3/IGLC3/IGHV3-64/CLEC7A/SASH3/RSAD2/ITGAM/IL6ST/FPR1/SYK/ADGRF5/PRKCB/S100A12/HLA-G/SIGLEC14/ICAM1/MMP14/POU2AF1/SOX11/CCR7/SLC2A3/TMEM106A/CD2/CLEC12A/LILRB4/IGLC7/STAP1/RAB27A/CYBB/CD5/FUCA1/DPP7/TNFSF13/IRF4/NR4A3/CORO1A/NR1D1/OLFM4/PIK3CD/LAIR1/SLCO4C1/CD47/GM2A/RELB/BCL3/GAL/ATP11A/SYT11/TIMP2/DOCK10/PRSS3/FYN/PRSS2/MAPT/IL2RA/SPHK1/LAG3/ATP8A1/NPC2"
"GO:0050900","GO:0050900","leukocyte migration",63,"63/1074","VEGFA/ATP1B3/CCL22/IGLV3-27/DYSF/ITGAX/CCL17/HRH1/MMP1/TNFRSF18/TMEM102/CCL13/CCL18/PGF/CXCR4/CCL24/CCL19/ABR/VEGFD/ZAP70/SIRPA/SELP/IGLV3-21/CXCR3/IGLV2-23/CXADR/JAM2/CD177/S100A9/IL34/MPP1/CXCL16/MDK/IL27RA/CYP7B1/IGLC3/BSG/ITGAM/SYK/S100A12/CMKLR1/ICAM1/MMP14/CD99/ITGA2/CCR7/CD2/IL16/CD48/EPS8/CCL20/CCL4/IGLV3-25/IGLC7/STAP1/DAPK2/S1PR1/CORO1A/ITGA9/PIK3CD/CD47/IGLV3-19/FYN"
"GO:0090713","GO:0090713","immunological memory process",0,"0/1074",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/1074",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/1074",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/1074",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/1074",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/1074",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/1074",""
"GO:0002118","GO:0002118","aggressive behavior",1,"1/1074","AVPR1A"
"GO:0002209","GO:0002209","behavioral defense response",1,"1/1074","MDK"
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/1074",""
"GO:0007611","GO:0007611","learning or memory",18,"18/1074","PJA2/SNAP25/HRH1/NDRG4/TMOD2/AGT/MDK/EGFR/KCNK2/CNTNAP2/BTG2/NPTX2/NLGN4X/GM2A/SYT11/FYN/MAPT/ATP8A1"
"GO:0007622","GO:0007622","rhythmic behavior",2,"2/1074","USP2/NR1D1"
"GO:0007625","GO:0007625","grooming behavior",2,"2/1074","AVPR1A/APRT"
"GO:0007626","GO:0007626","locomotory behavior",11,"11/1074","USP2/NLGN2/SNAP25/APH1B/OLFM2/ASTN1/GAD1/LGI4/HOXD10/EPS8/FZD4"
"GO:0007631","GO:0007631","feeding behavior",7,"7/1074","APLN/RETN/AGT/P2RY1/NR4A3/GAL/FYN"
"GO:0007632","GO:0007632","visual behavior",2,"2/1074","HRH1/NDRG4"
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/1074",""
"GO:0007638","GO:0007638","mechanosensory behavior",1,"1/1074","CNTNAP2"
"GO:0019098","GO:0019098","reproductive behavior",1,"1/1074","AVPR1A"
"GO:0030534","GO:0030534","adult behavior",7,"7/1074","LGI4/CNTNAP2/SPTBN2/HOXD10/EPS8/NR4A3/NLGN4X"
"GO:0030537","GO:0030537","larval behavior",0,"0/1074",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/1074",""
"GO:0035176","GO:0035176","social behavior",6,"6/1074","GNG8/AVPR1A/GAD1/GRP/CNTNAP2/NLGN4X"
"GO:0035187","GO:0035187","hatching behavior",0,"0/1074",""
"GO:0035640","GO:0035640","exploration behavior",2,"2/1074","NLGN2/GAD1"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/1074",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/1074",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/1074",""
"GO:0048520","GO:0048520","positive regulation of behavior",1,"1/1074","NR4A3"
"GO:0048521","GO:0048521","negative regulation of behavior",1,"1/1074","RETN"
"GO:0050795","GO:0050795","regulation of behavior",4,"4/1074","RETN/MDK/NR4A3/NR1D1"
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/1074",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/1074",""
"GO:0060273","GO:0060273","crying behavior",0,"0/1074",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/1074",""
"GO:0061744","GO:0061744","motor behavior",1,"1/1074","GRP"
"GO:0071625","GO:0071625","vocalization behavior",2,"2/1074","CNTNAP2/NLGN4X"
"GO:0006734","GO:0006734","NADH metabolic process",3,"3/1074","GPD2/ENO3/HK2"
"GO:0006739","GO:0006739","NADP metabolic process",3,"3/1074","TP53I3/FMO1/TKT"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",535,"535/1074","TFCP2L1/P3H3/HIF3A/AKT3/MYCL/TENT5A/RASL11A/VEGFA/USP2/MAOB/RPS5/TSPAN5/TRIO/P2RX1/GALK1/P3H2/HIBADH/AURKB/CYC1/CTSZ/BRSK2/HIP1R/TSC22D3/ACACB/TRAF4/NT5C2/ELOVL7/STYK1/WNK4/STAT5A/ASL/CCL22/MSLN/COL11A1/DMPK/NCAPG2/SSH3/RIPK4/TWIST2/FHL3/RILP/PJA2/ZNF844/BMPR1B/PDE5A/DYSF/SPIN4/WNK2/SERPINA6/MYCN/LDHA/GMPR/APOBEC3G/MBP/ENTPD7/CAPN5/PAK1/PCSK6/APLN/GSTP1/PABPC1L/SLC7A2/SHMT1/TFPI/LRP5/ASRGL1/GLIS2/NFAT5/PTPRU/CCL17/MMP1/MUC6/SCX/ZDHHC1/HNF1B/PIP/TNFRSF18/ZNF467/TMEM102/AATK/CCL13/APH1B/CPM/CCL18/PTPRF/ROBO1/ADRA1B/TRABD2B/CLDN3/MELK/CKB/TCF19/HEYL/KLF15/TGFA/SNHG12/RPS3/NCAM1/SERPINH1/IQGAP1/ARRDC4/PGF/TCIRG1/PAIP2B/GADD45B/DLL4/CXCR4/SLC29A1/NPNT/PLA2G4F/A2ML1/TMTC2/CCL24/EPHB6/HRAS/HSPB1/DPM3/MUC20/MAMSTR/CASP10/LAP3/RPL29/HBB/ADCY9/FKBP4/BCAT1/ZNF423/NDRG4/OVOL1/CCL19/DMD/PSPH/FBXL7/ACSM5/GPC6/TENT5C/HERC5/PLAUR/KLK12/VEGFD/ZAP70/SERPINA5/NPPC/COL6A3/PBXIP1/TINAG/IL17RD/CSRNP1/SIRPA/ELOVL2/SULT1C4/CD2AP/LPAR1/RPS4X/TFDP1/LOXL1/TWSG1/TPPP/XPNPEP2/RPL21/BMP8B/TTK/DNPH1/PTK7/FLT4/RNF19A/GUCY2C/TPP1/BNC1/HOXB6/RNF43/NFATC2/STX1A/PER1/MAGED1/B4GAT1/SLC6A8/TGFB1I1/FURIN/MFGE8/FANCI/IGF1R/CFTR/FUT2/AOC1/KLHL13/CD38/ASPRV1/GALNT12/TGFB3/CREB3L3/PARD6A/RRAS/IFI6/MPC1/NXN/RASGRP1/USP18/CIB1/RARG/RNASEH2A/GNS/SOX2/RAP2B/AGT/SEMA7A/FGF2/PTPN14/BTK/PDE2A/TNFRSF4/ZNF367/FAXDC2/GPR37L1/RNF183/RNF150/TRERF1/RPLP0P6/CERKL/ZDHHC9/LPAR3/GAD1/SNRPN/ASPDH/INAVA/CAMK2N2/FZD5/FOXF2/SGPP2/S100A9/FOXP4/TFAP2A/PITX1/IL7R/HES2/ATOH8/HOXC8/PLA2G10/TGFBR3/POMGNT2/NME1/CSF3/ASPA/ENO3/KCNIP3/IL34/CPVL/ERG/MYO1E/MPP1/LTBP4/SLA2/UGT8/ADCY6/HNF4A/THPO/LYZ/CERS4/PNCK/PCBP4/BMP7/IRAK3/HMGN5/AKR1B10/SVIP/RPL12/BCL6B/TCIM/ITIH3/ST14/GDPD3/MMP15/TSC22D1/PRDX5/SIX1/HSPA2/MDK/ZNF92/AMH/EGFR/APRT/MSRB3/IL27RA/IL4I1/CREB5/GPT/MAFF/BDKRB2/RASAL3/WT1/PLXNB2/TMEM119/TLE1/DHTKD1/DCN/MICAL1/HK2/HERC6/ANOS1/GMDS/CERS6/CLEC7A/SYNPO2/JUNB/CHAC1/SCAND1/HS3ST2/MDFI/HOXD11/TMIGD3/P2RY1/KLF13/TPST1/CMPK2/ITGAM/IL6ST/S1PR2/FKBP11/SPTSSA/FBN1/FPR1/SPINT1/SYK/CHD3/SOX7/KCNK2/APLP2/PRKCB/RIMKLB/LDB2/GRHL2/DPYD/LBH/PPIF/RASD1/CPD/S100A12/HMGA1/PIM1/RPS6/OPLAH/SLCO3A1/CMKLR1/ICAM1/CASZ1/SGK2/MYBL2/MMP14/DOK5/FOXE1/POU2AF1/PAX2/MOCOS/CAPN13/OSR2/ITGA2/TYMS/NAGS/SOX11/FBXO41/PTPRG/RBMS3/ARL6IP5/TNFSF12/DLGAP5/CCR7/TNK2/GUCY1B1/MXD1/BCL2L12/HAS3/ATP5F1D/SERPIND1/MMP11/SMPDL3A/DAPK1/GPX1/TMEM106A/SLFN11/SPTBN2/PPP1R13L/CKM/CTSF/GGT6/TNFAIP8L3/PSCA/ALDH6A1/HPCA/HOXD10/ECEL1/HOPX/CHST11/ST6GALNAC5/FMOD/ADAM33/CCL20/CCL4/LILRB4/ACE/NPL/IDS/PJA1/BTG2/GNE/ALDH4A1/BAG3/NPR2/CENPV/COL3A1/WEE1/LDLRAD4/MMP10/STAP1/MVD/PKIG/VCAN/SFTPB/DAPK2/DLG3/PCNA/ZNF671/FBXO17/ZNF692/ERN2/CDC42BPG/LMO4/FST/SPIB/HS6ST2/ABCA1/NFIL3/S1PR1/GRHL1/SLC38A2/LARP6/VWF/FUCA1/LPCAT4/APOLD1/RRS1/GIMAP7/BIRC5/DNMT1/NANOS1/FBLL1/F13A1/NDP/DBNDD1/MCM6/BASP1/DPP7/TNFSF13/SCARNA9/UQCC3/IRF4/RFC4/ABLIM2/RPL39L/NOSTRIN/UBE2L6/IRF2BPL/BSPRY/NR4A3/DERL3/NME3/PARP12/NR1D1/YBX3/RGCC/HES6/MRPS12/TPSAB1/PIK3CD/SPINT2/CHST6/CTSW/PRR16/CHAF1A/MVB12B/CDCA5/IGFBP3/CD47/GM2A/RELB/TCF4/KLK1/MUCL1/BCL3/PLOD1/GAL/RBM38/CDH1/ZEB2/NSG1/MAST4/ALDH3B2/TIMP2/ZNF770/GLUL/C1R/PRSS3/FYN/CKMT1A/WWC2/C1QL4/RPL8/PRSS2/F2R/MAPT/FBXO27/PBLD/ENDOD1/SERPING1/TNKS1BP1/FUT3/PKIA/MUC3A/MAP3K6/IL2RA/FOLR2/PLK4/HOXA5/TNK1/FZD4/HOXA13/HOXA3/ZBTB4/WNT2/ASPHD1/SPHK1/SMPDL3B/DUSP9/BLVRB/GINS1/NEK6"
"GO:0009056","GO:0009056","catabolic process",141,"141/1074","TENT5A/USP2/MAOB/RPS5/GALK1/HIBADH/AURKB/CTSZ/BRSK2/ACACB/NT5C2/CES3/RILP/MRC2/PDE5A/DYSF/FABP6/LDHA/LIPH/APOBEC3G/ENTPD7/ABHD2/SHMT1/LRP5/ASRGL1/GPRASP1/MMP1/RPS3/GPD2/TCIRG1/PLA2G4F/OXCT1/HSPB1/CYP26B1/RPL29/HBB/BCAT1/FBXL7/GPC6/TENT5C/DAPL1/SULT1C4/CD2AP/RPS4X/RPL21/DNPH1/RNF19A/TPP1/RNF43/TGFB1I1/FURIN/FUT2/USP18/CES2/RNASEH2A/GNS/FGF2/PDE2A/RNF150/GAD1/FZD5/FOXF2/S100A9/SCT/PLA2G10/ASPA/ENO3/PCBP4/IRAK3/AKR1B10/SVIP/RPL12/GDPD3/MMP15/PRDX5/EGFR/IL4I1/GPT/DHTKD1/DCN/HK2/SYNPO2/CHAC1/MTCL1/DPYD/RPS6/MMP14/TNFSF12/LZTS1/MMP11/SMPDL3A/DAPK1/GPX1/SLFN11/CTSF/ALDH6A1/FMOD/ACE/NPL/IDS/PJA1/BTG2/ALDH4A1/BAG3/MMP10/VCAN/DAPK2/CRABP1/FBXO17/ERN2/FUCA1/HBA2/NANOS1/TNFSF13/GLYATL2/UBE2L6/DERL3/NR1D1/YBX3/CRYZ/CTSW/MVB12B/GM2A/CDH1/SYT11/ALDH3B2/TIMP2/GLUL/FYN/RPL8/PRSS2/CYP4F3/MAPT/FBXO27/BDH1/SESN3/TNKS1BP1/ATP6V1C2/SPHK1/SMPDL3B/BLVRB"
